resp.id;ques;alt;spec;vel;qual;priv;cost;choice
1;1;alt1;Assistente;Lento;Ottimale;Bassa;25;0
1;1;alt2;Codice;Lento;Sufficente;Alta;20;0
1;1;alt3;Content;Veloce;Ottimale;Bassa;15;1
1;2;alt1;Content;Veloce;Ottimale;Bassa;25;0
1;2;alt2;Assistente;Veloce;Ottimale;Bassa;20;0
1;2;alt3;Codice;Lento;Sufficente;Alta;15;1
1;3;alt1;Codice;Lento;Sufficente;Bassa;20;0
1;3;alt2;Content;Lento;Ottimale;Alta;15;1
1;3;alt3;Assistente;Veloce;Sufficente;Alta;25;0
1;4;alt1;Assistente;Lento;Sufficente;Alta;20;0
1;4;alt2;Codice;Veloce;Sufficente;Bassa;15;1
1;4;alt3;Content;Veloce;Ottimale;Alta;25;0
1;5;alt1;Codice;Lento;Sufficente;Alta;25;0
1;5;alt2;Assistente;Lento;Sufficente;Bassa;15;0
1;5;alt3;Codice;Veloce;Ottimale;Alta;20;1
1;6;alt1;Codice;Lento;Ottimale;Bassa;15;1
1;6;alt2;Content;Veloce;Ottimale;Bassa;20;0
1;6;alt3;Assistente;Veloce;Sufficente;Alta;25;0
1;7;alt1;Codice;Lento;Ottimale;Bassa;25;1
1;7;alt2;Assistente;Lento;Ottimale;Alta;25;0
1;7;alt3;Content;Veloce;Sufficente;Alta;20;0
1;8;alt1;Codice;Veloce;Ottimale;Alta;25;1
1;8;alt2;Content;Lento;Ottimale;Alta;20;0
1;8;alt3;Assistente;Veloce;Sufficente;Bassa;15;0
1;9;alt1;Codice;Veloce;Sufficente;Bassa;25;1
1;9;alt2;Assistente;Lento;Ottimale;Bassa;20;0
1;9;alt3;Content;Lento;Sufficente;Alta;15;0
1;10;alt1;Assistente;Veloce;Sufficente;Bassa;15;0
1;10;alt2;Content;Lento;Ottimale;Bassa;20;1
1;10;alt3;Content;Lento;Sufficente;Alta;25;0
