"Respondent_ID","Timestamp","Age_Group","Gender","Education_Level"
1,"24/11/2025 15.57.55","18 - 24","Maschio","Laurea o equivalente (area STEM)"
2,"25/11/2025 16.58.08","18 - 24","Maschio","Laurea o equivalente (area STEM)"
3,"26/11/2025 16.34.28","25 - 34","Maschio","Laurea o equivalente (area STEM)"
4,"26/11/2025 16.54.30","25 - 34","Maschio","Laurea o equivalente (area STEM)"
5,"26/11/2025 17.05.00","25 - 34","Maschio","Laurea o equivalente (area STEM)"
6,"26/11/2025 17.09.47","18 - 24","Maschio","Laurea o equivalente (area STEM)"
7,"26/11/2025 17.17.31","18 - 24","Femmina","Laurea o equivalente (area STEM)"
8,"26/11/2025 17.18.16","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
9,"26/11/2025 17.23.23","18 - 24","Maschio","Laurea o equivalente (area STEM)"
10,"26/11/2025 17.37.55","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
11,"26/11/2025 17.38.55","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
12,"26/11/2025 17.40.03","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
13,"26/11/2025 17.40.50","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
14,"26/11/2025 17.42.24","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
15,"26/11/2025 17.43.50","18 - 24","Femmina","Laurea o equivalente (area non STEM)"
16,"26/11/2025 17.50.43","25 - 34","Maschio","Laurea o equivalente (area non STEM)"
17,"26/11/2025 17.55.18","25 - 34","Femmina","Laurea o equivalente (area non STEM)"
18,"26/11/2025 17.55.56","18 - 24","Altro","Laurea o equivalente (area STEM)"
19,"26/11/2025 17.56.48","25 - 34","Femmina","Laurea o equivalente (area STEM)"
20,"26/11/2025 18.41.21","18 - 24","Maschio","Laurea o equivalente (area STEM)"
21,"26/11/2025 18.44.42","25 - 34","Maschio","Diploma di scuola superiore"
22,"26/11/2025 19.02.05","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
23,"26/11/2025 19.09.49","18 - 24","Maschio","Laurea o equivalente (area STEM)"
24,"26/11/2025 19.16.06","25 - 34","Maschio","Diploma di scuola superiore"
25,"26/11/2025 19.30.46","18 - 24","Maschio","Diploma di scuola superiore"
26,"26/11/2025 20.15.02","18 - 24","Maschio","Laurea o equivalente (area non STEM)"
27,"26/11/2025 20.27.40","18 - 24","Femmina","Diploma di scuola superiore"
